,SPY,IBM,GLD,GOOG,AAPL
2005-01-03,85.63450622558594,56.407779693603516,43.02000045776367,5.048826217651367,0.9649830460548401
2005-01-04,84.5881118774414,55.80186462402344,42.7400016784668,4.844342231750488,0.9748929738998413
2005-01-05,84.00438690185547,55.686458587646484,42.66999816894531,4.819684982299805,0.9834312200546265
2005-01-06,84.43148803710938,55.5133171081543,42.150001525878906,4.696147918701172,0.9841943979263306
2005-01-07,84.31048583984375,55.270957946777344,41.84000015258789,4.828153133392334,1.055854320526123
2005-01-10,84.70911407470703,55.21324920654297,41.95000076293945,4.858290195465088,1.0514336824417114
2005-01-11,84.12542724609375,54.820831298828125,42.209999084472656,4.820432186126709,0.9843461513519287
2005-01-12,84.40303802490234,54.942039489746094,42.599998474121094,4.866260051727295,0.9980689883232117
2005-01-13,83.72677612304688,54.50347137451172,42.599998474121094,4.865015029907227,1.0642410516738892
2005-01-14,84.16813659667969,54.301517486572266,42.31999969482422,4.980582237243652,1.0703389644622803
2005-01-18,85.04366302490234,54.76316833496094,42.31999969482422,5.078464984893799,1.0772006511688232
2005-01-19,84.15390014648438,53.72443771362305,42.2599983215332,4.91408109664917,1.065459966659546
2005-01-20,83.64134979248047,53.666725158691406,42.25,4.829895973205566,1.0743027925491333
2005-01-21,83.12879943847656,53.308963775634766,42.7400016784668,4.689423084259033,1.0747612714767456
2005-01-24,82.96509552001953,52.96849822998047,42.77000045776367,4.501129150390625,1.0788772106170654
2005-01-25,83.19999694824219,53.199310302734375,42.2400016784668,4.411465167999268,1.0985462665557861
2005-01-26,83.44916534423828,53.060829162597656,42.689998626708984,4.7133331298828125,1.1015958786010742
2005-01-27,83.59151458740234,53.078128814697266,42.619998931884766,4.684442043304443,1.1075421571731567
2005-01-28,83.59151458740234,53.603267669677734,42.689998626708984,4.7407307624816895,1.1279722452163696
2005-01-31,84.1112060546875,53.909088134765625,42.220001220703125,4.8722381591796875,1.1724939346313477
2005-02-01,84.64502716064453,54.16300582885742,42.099998474121094,4.779584884643555,1.18209969997406
2005-02-02,84.90130615234375,54.41691589355469,42.15999984741211,5.129772186279297,1.2141181230545044
2005-02-03,84.68064880371094,53.97836685180664,41.68000030517578,5.251814842224121,1.186368703842163
2005-02-04,85.58467102050781,54.53810119628906,41.470001220703125,5.089921951293945,1.2020732164382935
2005-02-07,85.47078704833984,54.54963684082031,41.27000045776367,4.882449150085449,1.2035986185073853
2005-02-08,85.5704345703125,54.42243957519531,41.2599983215332,4.947455883026123,1.2334824800491333
2005-02-09,84.92979431152344,53.59565734863281,41.310001373291016,4.771615028381348,1.2005484104156494
2005-02-10,85.23588562011719,53.630348205566406,41.75,4.68195104598999,1.1947548389434814
2005-02-11,85.96907043457031,53.94256591796875,42.08000183105469,4.667504787445068,1.23820960521698
2005-02-14,85.9050064086914,54.09865951538086,42.54999923706055,4.806733131408691,1.2903532981872559
2005-02-15,86.22532653808594,54.5380744934082,42.58000183105469,4.862524032592773,1.347987413406372
2005-02-16,86.28227996826172,54.70574951171875,42.52000045776367,4.941727161407471,1.3742116689682007
2005-02-17,85.58467102050781,54.2027587890625,42.72999954223633,4.929025173187256,1.3388389348983765
2005-02-18,85.69856262207031,53.925228118896484,42.75,4.930270195007324,1.323592185974121
2005-02-22,84.42440032958984,53.3759765625,43.56999969482422,4.766384124755859,1.3004168272018433
2005-02-23,85.02945709228516,53.24877166748047,43.41999816894531,4.830644130706787,1.3452430963516235
2005-02-24,85.59178924560547,53.56097412109375,43.33000183105469,4.704616069793701,1.3559157848358154
2005-02-25,86.43888092041016,53.65349578857422,43.5,4.629397869110107,1.356830358505249
2005-02-28,85.8694076538086,53.52629470825195,43.529998779296875,4.682199954986572,1.367961049079895
2005-03-01,86.29654693603516,53.94256591796875,43.220001220703125,4.634130001068115,1.3569828271865845
2005-03-02,86.2538070678711,53.72288513183594,43.25,4.612212181091309,1.3453950881958008
2005-03-03,86.2894058227539,53.428009033203125,42.970001220703125,4.6577911376953125,1.2743439674377441
2005-03-04,87.3642807006836,53.404869079589844,43.380001068115234,4.630145072937012,1.3054485321044922
2005-03-07,87.4070053100586,52.95969772338867,43.470001220703125,4.702622890472412,1.3036187887191772
2005-03-08,87.07952880859375,53.26611328125,44.029998779296875,4.612709999084473,1.2359217405319214
2005-03-09,86.11148071289062,53.393306732177734,44.02000045776367,4.516819953918457,1.1999385356903076
2005-03-10,86.30364990234375,53.428009033203125,44.20000076293945,4.4826979637146,1.2145761251449585
2005-03-11,85.69856262207031,52.90764236450195,44.43000030517578,4.428400993347168,1.2279928922653198
2005-03-14,86.23245239257812,53.133140563964844,44.029998779296875,4.358414173126221,1.229517936706543
2005-03-15,85.5206069946289,52.83250427246094,44.060001373291016,4.448575973510742,1.2490336894989014
2005-03-16,84.7945556640625,52.41045379638672,44.310001373291016,4.373607158660889,1.2557427883148193
2005-03-17,84.96537780761719,51.95368957519531,43.81999969482422,4.465511798858643,1.2883716821670532
2005-03-18,84.7131118774414,51.61835861206055,43.88999938964844,4.48419189453125,1.3100223541259766
2005-03-21,84.3986587524414,51.7513427734375,43.09000015258789,4.5051140785217285,1.3325873613357544
2005-03-22,83.5411148071289,51.74552917480469,42.650001525878906,4.44832706451416,1.3060580492019653
2005-03-23,83.612548828125,52.33527755737305,42.41999816894531,4.457790851593018,1.2975198030471802
2005-03-24,83.71260833740234,52.439361572265625,42.38999938964844,4.4645161628723145,1.2959949970245361
2005-03-28,83.83409118652344,52.63592529296875,42.540000915527344,4.5185627937316895,1.2969101667404175
2005-03-29,83.27666473388672,52.381507873535156,42.560001373291016,4.4724860191345215,1.27312433719635
2005-03-30,84.45584106445312,52.42778015136719,42.61000061035156,4.494403839111328,1.3051427602767944
2005-03-31,84.2986068725586,52.83250427246094,42.81999969482422,4.4958977699279785,1.270684838294983
2005-04-01,83.91986083984375,52.28902053833008,42.619998931884766,4.48419189453125,1.2468997240066528
2005-04-04,84.06280517578125,52.21964645385742,42.400001525878906,4.614952087402344,1.2529981136322021
2005-04-05,84.46300506591797,51.78601837158203,42.45000076293945,4.696646213531494,1.277392864227295
2005-04-06,84.75599670410156,51.45648193359375,42.630001068115234,4.71283483505249,1.2908109426498413
2005-04-07,85.2133560180664,51.1326904296875,42.56999969482422,4.825911045074463,1.3283178806304932
2005-04-08,84.32722473144531,50.647037506103516,42.689998626708984,4.783320903778076,1.333807349205017
2005-04-11,84.39151763916016,49.83761978149414,42.779998779296875,4.812710762023926,1.2783082723617554
2005-04-12,84.82743835449219,49.57744598388672,42.84000015258789,4.830893039703369,1.3008735179901123
2005-04-13,83.82695770263672,48.89521026611328,42.900001525878906,4.805239200592041,1.2514734268188477
2005-04-14,82.73355102539062,48.35751724243164,42.310001373291016,4.76837682723999,1.136206030845642
2005-04-15,81.57585144042969,44.34505844116211,42.400001525878906,4.607728958129883,1.0779626369476318
2005-04-18,81.82599639892578,44.31613540649414,42.689998626708984,4.656795024871826,1.0861958265304565
2005-04-19,82.47630310058594,43.63970947265625,43.279998779296875,4.767131805419922,1.1310226917266846
2005-04-20,81.32572174072266,41.633480072021484,43.400001525878906,4.934006214141846,1.0828416347503662
2005-04-21,82.90508270263672,42.80135726928711,43.189998626708984,5.086434841156006,1.133766770362854
2005-04-22,82.59064483642578,42.905452728271484,43.38999938964844,5.375102996826172,1.0825368165969849
2005-04-25,83.13378143310547,43.136722564697266,43.439998626708984,5.567381858825684,1.1276675462722778
2005-04-26,82.32624816894531,43.61079788208008,43.63999938964844,5.448328018188477,1.1035778522491455
2005-04-27,82.64783477783203,44.54743957519531,43.20000076293945,5.473981857299805,1.0962594747543335
2005-04-28,81.611572265625,43.88832473754883,43.0,5.465763092041016,1.083756685256958
2005-04-29,82.71923828125,44.160064697265625,43.349998474121094,5.479462146759033,1.0996134281158447
2005-05-02,83.18376159667969,44.23523712158203,42.880001068115234,5.536498069763184,1.1108959913253784
