Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,375.30999755859375,375.45001220703125,364.82000732421875,368.7900085449219,361.2511291503906,110210800.0
2021-01-05,368.1000061035156,372.5,368.04998779296875,371.3299865722656,363.73919677734375,66426200.0
2021-01-06,369.7099914550781,376.9800109863281,369.1199951171875,373.54998779296875,365.913818359375,107997700.0
2021-01-07,376.1000061035156,379.8999938964844,375.9100036621094,379.1000061035156,371.35040283203125,68766800.0
2021-01-08,380.5899963378906,381.489990234375,377.1000061035156,381.260009765625,373.46624755859375,71677200.0
2021-01-11,377.8500061035156,380.5799865722656,377.7200012207031,378.69000244140625,370.9488220214844,51034700.0
2021-01-12,378.8900146484375,379.8599853515625,376.3599853515625,378.7699890136719,371.0271301269531,52547700.0
2021-01-13,378.69000244140625,380.8599853515625,377.8500061035156,379.7900085449219,372.02630615234375,45303600.0
2021-01-14,380.5899963378906,381.1300048828125,378.1000061035156,378.4599914550781,370.7234802246094,49989100.0
2021-01-15,376.7200012207031,377.5799865722656,373.70001220703125,375.70001220703125,368.0199279785156,107160000.0
2021-01-19,378.3399963378906,379.2300109863281,376.75,378.6499938964844,370.9095764160156,51233300.0
2021-01-20,381.1099853515625,384.7900085449219,380.69000244140625,383.8900146484375,376.04248046875,61836100.0
2021-01-21,384.489990234375,384.95001220703125,383.25,384.239990234375,376.3852844238281,47840100.0
2021-01-22,382.25,384.1300048828125,381.8399963378906,382.8800048828125,375.0531005859375,52860500.0
2021-01-25,383.6700134277344,384.7699890136719,378.4599914550781,384.3900146484375,376.5322265625,70402000.0
2021-01-26,385.4100036621094,385.8500061035156,383.5400085449219,383.7900085449219,375.94451904296875,42665300.0
2021-01-27,380.2200012207031,380.32000732421875,372.010009765625,374.4100036621094,366.75628662109375,123351100.0
2021-01-28,376.3599853515625,381.92999267578125,375.8900146484375,377.6300048828125,369.9104309082031,94198100.0
2021-01-29,375.6300048828125,376.6700134277344,368.2699890136719,370.07000732421875,362.5050048828125,126765100.0
2021-02-01,373.7200012207031,377.3399963378906,370.3800048828125,376.2300109863281,368.5390625,75817600.0
2021-02-02,379.6499938964844,383.2200012207031,376.32000732421875,381.54998779296875,373.75030517578125,64450700.0
2021-02-03,382.44000244140625,383.70001220703125,380.4800109863281,381.8500061035156,374.0441589355469,52427100.0
2021-02-04,382.9599914550781,386.239990234375,381.9700012207031,386.19000244140625,378.29547119140625,47142600.0
2021-02-05,388.20001220703125,388.4700012207031,386.1400146484375,387.7099914550781,379.78436279296875,48669800.0
2021-02-08,389.2699890136719,390.55999755859375,388.3500061035156,390.510009765625,382.52716064453125,38365200.0
2021-02-09,389.6099853515625,390.8900146484375,389.1700134277344,390.25,382.2724304199219,35551100.0
2021-02-10,392.1199951171875,392.2799987792969,387.5,390.0799865722656,382.1059265136719,59154400.0
2021-02-11,391.239990234375,391.69000244140625,388.1000061035156,390.7099914550781,382.7230529785156,42913300.0
2021-02-12,389.8500061035156,392.8999938964844,389.7699890136719,392.6400146484375,384.6136169433594,50593300.0
2021-02-16,393.9599914550781,394.1700134277344,391.5299987792969,392.29998779296875,384.280517578125,50972400.0
2021-02-17,390.4200134277344,392.6600036621094,389.3299865722656,392.3900146484375,384.36871337890625,52290600.0
2021-02-18,389.5899963378906,391.5199890136719,387.739990234375,390.7200012207031,382.73284912109375,59712800.0
2021-02-19,392.07000732421875,392.3800048828125,389.54998779296875,390.0299987792969,382.05694580078125,83241000.0
2021-02-22,387.05999755859375,389.6199951171875,386.739990234375,387.0299987792969,379.1182861328125,67414200.0
2021-02-23,384.6600036621094,388.95001220703125,380.20001220703125,387.5,379.57867431640625,107284100.0
2021-02-24,386.3299865722656,392.2300109863281,385.2699890136719,391.7699890136719,383.7613830566406,72433900.0
2021-02-25,390.4100036621094,391.8800048828125,380.7799987792969,382.3299865722656,374.51434326171875,146670500.0
2021-02-26,384.3500061035156,385.5799865722656,378.2300109863281,380.3599853515625,372.5845947265625,152701600.0
2021-03-01,385.5899963378906,390.9200134277344,380.57000732421875,389.5799865722656,381.61614990234375,105348800.0
2021-03-02,389.82000732421875,390.07000732421875,386.0,386.5400085449219,378.6383056640625,79595300.0
2021-03-03,385.7900085449219,386.8299865722656,381.30999755859375,381.4200134277344,373.62298583984375,119940200.0
2021-03-04,381.2200012207031,384.0,371.8800048828125,376.70001220703125,368.9994812011719,183433000.0
2021-03-05,380.4599914550781,384.760009765625,372.6400146484375,383.6300048828125,375.7877502441406,152039600.0
2021-03-08,384.6600036621094,387.67999267578125,381.4200134277344,381.7200012207031,373.9168395996094,123149200.0
2021-03-09,385.8500061035156,389.9100036621094,385.30999755859375,387.1700134277344,379.2554016113281,113633600.0
2021-03-10,389.69000244140625,391.3999938964844,388.1700134277344,389.5799865722656,381.61614990234375,109899400.0
2021-03-11,392.2300109863281,395.6499938964844,391.739990234375,393.5299987792969,385.48541259765625,86245000.0
2021-03-12,392.07000732421875,394.2099914550781,391.20001220703125,394.05999755859375,386.00457763671875,64653600.0
2021-03-15,394.3299865722656,396.69000244140625,392.0299987792969,396.4100036621094,388.3065185546875,73427200.0
2021-03-16,397.07000732421875,397.8299865722656,395.0799865722656,395.9100036621094,387.8167419433594,73722500.0
2021-03-17,394.5299987792969,398.1199951171875,393.29998779296875,397.260009765625,389.13916015625,97959300.0
2021-03-18,394.4800109863281,396.7200012207031,390.75,391.4800109863281,383.4773254394531,115349100.0
2021-03-19,389.8800048828125,391.57000732421875,387.1499938964844,389.4800109863281,382.7677917480469,113624500.0
2021-03-22,390.0299987792969,394.07000732421875,389.9700012207031,392.5899963378906,385.82415771484375,73778600.0
2021-03-23,391.9100036621094,393.4599914550781,388.6600036621094,389.5,382.78741455078125,90686600.0
