Date,Open,High,Low,Close,Adj Close,Volume
6/21/22,54.200001,60.75,54.099998,57.490002,57.490002,16916200
6/22/22,53.869999,56.75,51.57,51.91,51.91,18947700
6/23/22,53.599998,59.619999,51.830002,58.880001,58.880001,15840700
6/24/22,60,64.089996,59.330002,62.709999,62.709999,24357700
6/27/22,59.560001,60.450001,55.02,55.959999,55.959999,15201600
6/28/22,56.259998,57.25,50.330002,51.18,51.18,10253500
6/29/22,50.5,51.459999,48.59,49.75,49.75,9776200
6/30/22,48.200001,48.400002,44.150002,47.02,47.02,12934400
7/1/22,47.990002,50.16,47.52,49.040001,49.040001,8529800
7/5/22,48.130001,55.82,45.950001,55.41,55.41,13087900
7/6/22,54.169998,56.27,51.400002,51.709999,51.709999,11881900
7/7/22,52.139999,57.650002,52.139999,57.459999,57.459999,12318500
7/8/22,55.610001,63.700001,54.509998,60.290001,60.290001,17935100
7/11/22,57.540001,58.43,53.299999,53.880001,53.880001,10705800
7/12/22,53.700001,56.110001,52.619999,54.240002,54.240002,8466200
7/13/22,51.68,54.73,50.400002,53.099998,53.099998,9439900
7/14/22,52.34,54.709999,50.34,53.419998,53.419998,9682100
7/15/22,54.349998,56.549999,51.93,53.790001,53.790001,10691800
7/18/22,56.709999,63.380001,56.689999,58.669998,58.669998,21226200
7/19/22,60.860001,65.980003,57.779999,65.830002,65.830002,19210600
7/20/22,67.080002,79,67.050003,75.269997,75.269997,34032000
7/21/22,71,76.620003,70.279999,73.980003,73.980003,17301200
7/22/22,76.199997,76.57,69.089996,70.82,70.82,11992800
7/25/22,68.93,69.980003,66.300003,67.07,67.07,8797600
7/26/22,61.689999,62.889999,52.630001,52.93,52.93,26875800
7/27/22,54.869999,60.610001,53.119999,58.830002,58.830002,18230200
7/28/22,58.240002,62.950001,55.59,62.25,62.25,13674800
7/29/22,60.139999,64.230003,59.77,62.959999,62.959999,9093300
8/1/22,61.189999,63.619999,59.419998,62.700001,62.700001,7361300
8/2/22,60.91,69.589996,60.799999,67.230003,67.230003,12142100
8/3/22,69.050003,82.25,67.610001,80.809998,80.809998,24784200
8/4/22,106.099998,116.300003,86.790001,88.900002,88.900002,54342800
8/5/22,86.580002,98.870003,86.519997,93.050003,93.050003,24821500
8/8/22,97.839996,103.550003,93.809998,98.019997,98.019997,18878700
8/9/22,93.889999,93.889999,85.599998,87.68,87.68,17411400
8/10/22,89.980003,95,88,94.139999,94.139999,23818200
8/11/22,97.25,98.699997,82.309998,84,84,23247300
8/12/22,85.230003,92.480003,83.290001,90.489998,90.489998,13720300
8/15/22,89.110001,93.68,88.589996,91.970001,91.970001,11001900
8/16/22,90.550003,95.5,84.239998,90.389999,90.389999,17034400
8/17/22,87.510002,88.639999,84.769997,85.440002,85.440002,10697900
8/18/22,86.330002,86.360001,81.419998,83.470001,83.470001,7923300
8/19/22,76,78.25,74.010002,74.059998,74.059998,13642300
8/22/22,70.910004,74.940002,70.290001,71.470001,71.470001,9082400
