Date,Open,High,Low,Close,Adj Close,Volume
6/21/22,371.890015,376.529999,371.809998,375.070007,375.070007,76811900
6/22/22,370.619995,378.720001,370.179993,374.390015,374.390015,90059400
6/23/22,376.640015,378.829987,372.890015,378.059998,378.059998,79292100
6/24/22,381.399994,390.089996,381.369995,390.079987,390.079987,98050300
6/27/22,391.049988,391.359985,387.440002,388.589996,388.589996,66009600
6/28/22,390.230011,393.160004,380.529999,380.649994,380.649994,86548900
6/29/22,381.230011,382.269989,378.420013,380.339996,380.339996,65676000
6/30/22,376.23999,380.660004,372.559998,377.25,377.25,112508300
7/1/22,376.559998,381.700012,373.799988,381.23999,381.23999,74839700
7/5/22,375.880005,381.980011,372.899994,381.959991,381.959991,81438000
7/6/22,382.109985,385.869995,379.600006,383.25,383.25,70426200
7/7/22,385.119995,389.829987,383.269989,388.98999,388.98999,64525900
7/8/22,387.269989,390.640015,385.660004,388.670013,388.670013,72397800
7/11/22,385.850006,386.869995,383.5,384.230011,384.230011,58366900
7/12/22,383.649994,386.160004,378.98999,380.829987,380.829987,62219200
7/13/22,375.100006,381.920013,374.660004,378.829987,378.829987,84224600
7/14/22,373.609985,379.049988,371.040009,377.910004,377.910004,89704800
7/15/22,382.549988,385.25,380.540009,385.130005,385.130005,79060400
7/18/22,388.380005,389.089996,380.660004,381.950012,381.950012,63203600
7/19/22,386.079987,392.869995,385.390015,392.269989,392.269989,78506000
7/20/22,392.470001,396.26001,391.029999,394.769989,394.769989,71843800
7/21/22,394.160004,398.839996,391.630005,398.790009,398.790009,64903900
7/22/22,398.920013,400.179993,392.75,395.089996,395.089996,72197300
7/25/22,395.75,396.470001,393.209991,395.570007,395.570007,53631500
7/26/22,393.839996,394.059998,389.950012,390.890015,390.890015,52946400
7/27/22,394.359985,402.880005,394.049988,401.040009,401.040009,82342100
7/28/22,401.890015,406.799988,398.149994,406.070007,406.070007,73966600
7/29/22,407.579987,413.029999,406.769989,411.98999,411.98999,86921200
8/1/22,409.149994,413.410004,408.399994,410.769989,410.769989,69997500
8/2/22,409.119995,413,406.820007,408.059998,408.059998,63435400
8/3/22,410.299988,415.679993,410,414.450012,414.450012,67820600
8/4/22,414.369995,415.089996,412.440002,414.170013,414.170013,45656600
8/5/22,409.660004,414.149994,409.600006,413.470001,413.470001,56755600
8/8/22,415.25,417.619995,411.829987,412.98999,412.98999,53886100
8/9/22,412.220001,412.75,410.220001,411.350006,411.350006,44931800
8/10/22,418.779999,420.140015,416.720001,419.98999,419.98999,68665700
8/11/22,422.98999,424.950012,419.209991,419.98999,419.98999,59489700
8/12/22,422.029999,427.209991,421.029999,427.100006,427.100006,61644600
8/15/22,424.769989,429.410004,424.709991,428.859985,428.859985,54048300
8/16/22,427.730011,431.730011,426.880005,429.700012,429.700012,59289000
8/17/22,425.910004,429.5,424.540009,426.649994,426.649994,63563400
8/18/22,426.859985,428.609985,425.5,427.890015,427.890015,49023200
8/19/22,424.980011,425.26001,421.220001,422.140015,422.140015,67934700
8/22/22,417.049988,417.230011,412.399994,413.350006,413.350006,77695600
